key	company	url	adapter
bitbucket	Bitbucket	https://bitbucket.status.atlassian.com	statuspage
box	Box	https://status.box.com	statuspage
cloudflare	Cloudflare	https://www.cloudflarestatus.com	statuspage
contentful	Contentful	https://contentfulstatus.com	statuspage
contentstack	Contentstack	https://status.contentstack.com/	statuspage
digitalocean	DigitalOcean	https://status.digitalocean.com	statuspage
dropbox	Dropbox	https://status.dropbox.com	statuspage
easypost	EasyPost	https://www.easypoststatus.com	statuspage
eventbrite	Eventbrite	https://www.eventbritestatus.com	statuspage
freshbooks	FreshBooks	https://status.freshbooks.com	statuspage
github	Github	https://www.githubstatus.com	statuspage
godaddy	GoDaddy	https://status.godaddy.com	statuspage
hubspot	HubSpot	https://status.hubspot.com	statuspage
intercom	Intercom	https://www.intercomstatus.com	statuspage
jira	Jira	https://jira-software.status.atlassian.com	statuspage
newrelic	NewRelic	https://status.newrelic.com	statuspage
personio	Personio	https://status.personio.de	statuspage
sendgrid	SendGrid	https://status.sendgrid.com	statuspage
splunk	Splunk	https://status.splunk.com	statuspage
twilio	Twilio	https://status.twilio.com	statuspage
zoom	Zoom	https://status.zoom.us/	statuspage
